,ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
146,54.212.94.jcd,2017-06-26,00:00:00,0.0,877860.0,0000877860-17-000030,-index.htm,301.0,287.0,1.0,0.0,1.0,10.0,0.0,
147,54.212.94.jcd,2017-06-26,00:00:00,0.0,877860.0,0000877860-17-000033,ex99122117pr-01.htm,301.0,276.0,0.0,0.0,1.0,10.0,0.0,
148,54.212.94.jcd,2017-06-26,00:00:00,0.0,877860.0,0000877860-17-000030,-index.htm,200.0,6771.0,1.0,0.0,0.0,10.0,0.0,
149,54.212.94.jcd,2017-06-26,00:00:00,0.0,877860.0,0000877860-17-000030,-index.htm,301.0,676.0,1.0,0.0,0.0,10.0,0.0,
150,54.212.94.jcd,2017-06-26,00:00:00,0.0,877860.0,0000877860-17-000033,ex99122117pr-01.htm,200.0,5553.0,0.0,0.0,0.0,10.0,0.0,
151,54.212.94.jcd,2017-06-26,00:00:00,0.0,877860.0,0000877860-17-000033,ex99122117pr-01.htm,301.0,667.0,0.0,0.0,0.0,10.0,0.0,
152,54.67.64.eij,2017-06-26,00:00:00,0.0,1528098.0,0001493152-17-007006,primary_doc.xml,200.0,2093.0,0.0,0.0,0.0,10.0,0.0,
153,54.75.252.bfc,2017-06-26,00:00:00,0.0,1114446.0,0001114446-17-004070,-index.html,200.0,2789.0,1.0,0.0,0.0,10.0,0.0,
154,54.80.234.jhf,2017-06-26,00:00:00,0.0,1311369.0,0001144204-11-040850,.txt,200.0,4782.0,0.0,0.0,0.0,10.0,0.0,
155,54.80.234.jhf,2017-06-26,00:00:00,0.0,1311369.0,0001144204-11-040850,.hdr.sgml,200.0,1120.0,0.0,0.0,0.0,10.0,0.0,
156,54.80.234.jhf,2017-06-26,00:00:00,0.0,1285819.0,0001181431-13-052715,.txt,200.0,3890.0,0.0,0.0,0.0,10.0,0.0,
157,54.82.158.iee,2017-06-26,00:00:00,0.0,12601.0,0000870786-04-000214,.hdr.sgml,200.0,1078.0,0.0,0.0,0.0,10.0,0.0,
158,54.82.158.iee,2017-06-26,00:00:00,0.0,822671.0,0000869392-97-000349,.txt,200.0,2660.0,0.0,0.0,0.0,10.0,0.0,
159,54.91.240.cca,2017-06-26,00:00:00,0.0,819539.0,0000819539-04-000012,.txt,200.0,2853.0,0.0,0.0,0.0,10.0,0.0,
160,62.65.39.jcf,2017-06-26,00:00:00,0.0,1502976.0,0001144204-16-134474,-index.htm,301.0,685.0,1.0,0.0,0.0,10.0,0.0,
161,62.65.39.jcf,2017-06-26,00:00:00,0.0,1502976.0,0001144204-16-134474,-index.htm,200.0,2714.0,1.0,0.0,0.0,10.0,0.0,
162,63.140.112.fdh,2017-06-26,00:00:00,0.0,72331.0,0000950152-97-000543,.txt,200.0,54787.0,0.0,0.0,0.0,10.0,0.0,
163,63.140.112.fdh,2017-06-26,00:00:00,0.0,72331.0,0000950152-98-000581,.txt,200.0,71049.0,0.0,0.0,0.0,10.0,0.0,
164,64.124.25.jig,2017-06-26,00:00:00,0.0,1584627.0,0001654954-17-004131,primary_doc.xml,200.0,2493.0,0.0,0.0,0.0,10.0,0.0,
165,64.124.25.jig,2017-06-26,00:00:00,0.0,1584627.0,0001654954-17-004131,primary_doc.xml,301.0,668.0,0.0,0.0,0.0,10.0,0.0,
166,64.125.175.fjb,2017-06-26,00:00:00,0.0,1021435.0,0001437749-15-016278,filename1.htm,200.0,4103.0,0.0,0.0,0.0,10.0,0.0,
167,64.211.51.bhf,2017-06-26,00:00:00,0.0,1375063.0,0001193125-12-405575,.txt,200.0,880557.0,0.0,0.0,0.0,10.0,0.0,
168,66.249.66.bdh,2017-06-26,00:00:00,0.0,831001.0,0001209191-16-141396,xslF345X03/doc4.xml,200.0,3760.0,0.0,0.0,0.0,10.0,0.0,
169,66.249.66.bdh,2017-06-26,00:00:00,0.0,842317.0,0000950123-02-011160,y65962e6vk.htm,304.0,218.0,0.0,0.0,0.0,10.0,0.0,
